Date,Auteur,Contenu
2024-12-22 12:43:04+00:00,1498503031671103488,"RT @Maks_NAFO_FELLA: ðŸ‡ºðŸ‡¦ ""The coming year will be key for our country. We must do everything to make 2025 a year of just peace for Ukraine,""â€¦"
2024-12-22 12:43:03+00:00,1732097149087715329,"RT @liz_churchill10: 5 days before Christmas as Hurricane Victims are sufferingâ€¦theyâ€™re sending another $1,200,000,000.00 to Ukraine.
 httpâ€¦"
2024-12-22 12:43:03+00:00,1242716255326478337,@franceonu l ukraine qui la menaÃ§ait pas?? vous plaisantez
2024-12-22 12:43:03+00:00,1499726702737600515,"@ChristianLavoi6 @andrearthurciel Je suis contre lâ€™agression russe en Ukraine. 

Souhaiter la mort de civils dâ€™un endroit ou de lâ€™autre fait de toi un mangeu de marde de la pire espÃ¨ce. Un poutine, sans le pouvoir, qui justifie des atrocitÃ©s parce que ""lâ€™autre a commencÃ©""

Tâ€™es ce que tu dÃ©nonce https://t.co/zsZAWVZzO3"
2024-12-22 12:43:03+00:00,24842995,"Rusland tager endnu en bid af det Ã¸stlige Ukraine

Russiske styrker har indtaget yderligere to landsbyer i det Ã¸stlige Ukraine. Det meddeler Ruslands forsvarsministerium sÃ¸ndag. https://t.co/7B2VtMbLtR via @berlingske"
2024-12-22 12:43:02+00:00,1585833609080238082,@elonmusk Whatever I always support and say help Ukraine or in general No Russia :((
2024-12-22 12:43:02+00:00,115879623,"RT @ulky: Erinnerung. 
#Magdeburg findet in der #Ukraine Tag fÃ¼r Tag vielfach statt.
Allerdings sitzt der Psychopath hier nicht am Steuer eâ€¦"
2024-12-22 12:43:02+00:00,374730559,RT @GuntherEagleman: Time to audit Ukraine!
2024-12-22 12:43:02+00:00,549380352,RT @amuse: UKRAINE: Zelensky has reportedly offered at least one NATO leader half a billion euros in exchange for his support of NATO membeâ€¦
2024-12-22 12:43:02+00:00,409885370,"RT @LithuaniaInEU: During #EUCO, President @GitanasNauseda emphasized that the #EU ðŸ‡ªðŸ‡º must continue to enhance its support for #Ukraine ðŸ‡ºðŸ‡¦â€¦"
